Trend,106-AirHEATER-HIEU2,05/05/2025,09:55:56
,TagNo,Description,Units
1,20HFE30EE301.out,HPA PRS SETP BIAS PV,kPa
2,20HLA21CP001XQ01.out,FDF A O/L AIR PRS,kPa
3,20HLA22CP001XQ01.out,FDF B O/L AIR PRS,kPa
4,20HLA30CP001XQ01.out,AH O/L SECAIR PRS,kPag
5,20HLA30CP501XQ01.out,AH O/L SECAIR PRS,kPag
6,20HLD01AE004XQ00.out,AH RTDRV CURR,A
7,20HCB01CF001XQ00.out,B-SB STM FLW,t/h
8,20HCB01CT001XQ00.out,B-SB STM TEMP,degC
9,20HCB41BN001.s6,AH SOOTBLOWER HOT SIDE RETRACTED,
10,20HCB41BN002.s6,AH SOOTBLOWER COLD SIDE RETRACTED,
11,20HLD01CT001XQ01.out,AH GDBRG TEMP,degC
12,20HLD01CT002XQ01.out,AH SPT BRG TEMP,degC
13,20HLA24AA501XQ01.out,AH SECAIR BYP CDPR CDRV POSN FDBK,%
14,,,
15,,,
16,,,

Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
01/04/2025,00:00:00,13.7149,3.5058,3.5719,1.696,1.6988,28.3375,3.109,279.76,1,0,49.1062,32.4875,0,,,
01/04/2025,00:30:00,13.5764,3.5124,3.5758,1.7038,1.7148,28.3125,0.931,273.12,1,0,49.6875,32.45,0,,,
01/04/2025,01:00:00,13.6155,3.6589,3.7232,1.799,1.7872,28.3438,0.836,271.14,1,0,49.9,32.2812,0,,,
01/04/2025,01:30:00,13.7952,3.5876,3.655,1.7443,1.7329,30.4813,0.875,265.86,1,0,42.1062,32.2625,0,,,
01/04/2025,02:00:00,13.8065,3.4266,3.4879,1.6209,1.6216,29.375,0.835,260.28,1,1,46.3062,32.1812,0,,,
01/04/2025,02:30:00,13.6718,3.6887,3.7556,1.7813,1.7859,28.2375,9.013,276,1,1,48.1812,32.0938,0,,,
01/04/2025,03:00:00,13.8181,3.6292,3.6953,1.7487,1.7413,31.35,17.626,283.36,1,1,49.0312,31.9437,0,,,
01/04/2025,03:30:00,13.6356,3.5408,3.6069,1.7017,1.7111,29.975,0.858,272.08,1,1,49.6375,31.8563,0,,,
01/04/2025,04:00:00,12.8362,3.0661,3.1178,1.4503,1.4538,29.5312,11.642,282.22,1,1,49.8812,31.8563,0,,,
01/04/2025,04:30:00,12.549,2.6011,2.6426,1.1672,1.1797,29.9188,0.899,273.38,1,1,44.1562,31.8062,0,,,
01/04/2025,05:00:00,12.5278,2.7109,2.7472,1.2696,1.2681,28.8125,0.759,264.38,1,1,47.4437,31.775,0,,,
01/04/2025,05:30:00,13.6804,3.5137,3.5798,1.6465,1.6688,29.4062,3.105,279.44,1,0,48.875,31.75,0,,,
01/04/2025,06:00:00,13.5356,3.4804,3.5447,1.6798,1.6673,28.9562,5.363,282.02,1,0,49.6125,31.7812,0,,,
01/04/2025,06:30:00,12.638,2.8377,2.8854,1.363,1.3582,29.4188,0.814,282.34,1,0,41.9937,31.7188,0,,,
01/04/2025,07:00:00,11.8162,2.0782,2.1067,1.0067,1.0132,29.375,0.848,291.54,1,0,46.1562,31.6375,3.8375,,,
01/04/2025,07:30:00,13.493,2.8347,2.8881,1.4039,1.4017,28.8937,3.784,280.4,1,0,47.8312,31.6187,0,,,
01/04/2025,08:00:00,13.2388,3.4179,3.4822,1.6369,1.6185,28.8563,0.866,274.82,1,1,48.6687,31.55,0,,,
01/04/2025,08:30:00,13.2221,3.4476,3.5146,1.5945,1.6023,28.875,0.665,262.5,1,1,49.2875,31.3625,0,,,
01/04/2025,09:00:00,13.4,3.4358,3.5036,1.6273,1.6349,29.4562,0.704,267.32,1,1,49.875,31.3187,0,,,
01/04/2025,09:30:00,13.0696,3.3002,3.3593,1.5238,1.5085,29.5687,1.946,259.1,1,1,42.6625,31.3187,0,,,
01/04/2025,10:00:00,11.7125,1.9584,1.9741,1.0399,1.0378,29.2313,0.876,285.08,1,1,46.6625,31.2875,6.025,,,
01/04/2025,10:30:00,12.3939,1.8906,1.9186,0.9883,1.0093,29.85,11.034,300.54,1,1,48.35,31.15,27.6625,,,
01/04/2025,11:00:00,12.3643,1.7331,1.7619,0.8669,0.8673,28.7938,0.821,285.9,1,1,49.0062,31.1125,50.5312,,,
01/04/2025,11:30:00,12.3633,1.7869,1.8171,0.9124,0.9209,29.375,7.625,306.02,1,0,49.3062,31.0187,55.425,,,
01/04/2025,12:00:00,12.424,1.73,1.7571,0.9037,0.9019,30.5187,2.946,304.82,1,0,49.5125,30.9562,57.1687,,,
01/04/2025,12:30:00,12.4363,1.8214,1.8499,0.9758,0.9704,28.8875,0.852,298.3,1,0,49.5,30.95,57.4562,,,
01/04/2025,13:00:00,12.8974,3.0954,3.1584,1.4871,1.4954,28.9062,2.679,292.12,1,0,49.2375,30.8687,23.5875,,,
01/04/2025,13:30:00,13.3444,3.5084,3.5723,1.6988,1.6947,29.4188,3.54,281.04,1,0,48.8312,30.8375,0,,,
01/04/2025,14:00:00,13.2869,3.6021,3.6708,1.75,1.7395,28.2812,2.168,275.14,1,1,48.5062,30.6937,0,,,
01/04/2025,14:30:00,13.2012,3.5097,3.5714,1.6822,1.6809,29.3125,16.615,277.38,1,1,48.2312,30.6375,0,,,
01/04/2025,15:00:00,13.2327,3.6314,3.6996,1.7463,1.7391,28.8875,5.911,282.04,1,1,48.1625,30.5875,0,,,
01/04/2025,15:30:00,13.186,3.6029,3.6659,1.7069,1.7126,28.7812,0.974,269.9,1,1,48.2,30.5812,0,,,
01/04/2025,16:00:00,13.1557,3.6077,3.6712,1.7187,1.7087,29.3438,0.705,265.8,1,1,48.5375,30.5812,0,,,
01/04/2025,16:30:00,13.1145,3.6152,3.6821,1.706,1.6968,29.45,0.752,257.46,1,1,48.8562,30.6,0,,,
01/04/2025,17:00:00,13.1975,3.7416,3.8081,1.7999,1.8027,28.9,0.889,273.28,1,1,49.3187,30.55,0,,,
01/04/2025,17:30:00,12.3465,2.6474,2.689,1.286,1.2773,30.525,2.923,283.74,1,0,49.6437,30.525,0,,,
01/04/2025,18:00:00,13.1738,3.6454,3.7136,1.7743,1.7771,29.9188,3.154,281.38,1,0,49.9437,30.5438,0,,,
01/04/2025,18:30:00,13.3008,3.6988,3.7626,1.8036,1.815,29.45,0.671,273.48,1,0,43.6562,30.4937,0,,,
01/04/2025,19:00:00,13.1351,3.6314,3.7057,1.7517,1.7574,29.525,0.516,265.34,1,0,46.4937,30.5062,0,,,
01/04/2025,19:30:00,13.0446,3.7893,3.8523,1.829,1.8395,28.9062,0.655,257.02,1,0,47.6062,30.425,0,,,
01/04/2025,20:00:00,13.2757,3.7193,3.7828,1.7944,1.7968,29.2,0.841,277.22,1,1,48.2937,30.4375,0,,,
01/04/2025,20:30:00,13.1178,3.6953,3.7644,1.7443,1.7421,29.4062,0.889,262.74,1,1,48.4625,30.4312,0,,,
01/04/2025,21:00:00,13.1438,3.7495,3.8191,1.7857,1.7817,27.9062,0.723,259.76,1,1,48.5562,30.325,0,,,
01/04/2025,21:30:00,13.2629,3.7167,3.7836,1.769,1.7598,29.9813,0.747,277.24,1,1,48.6187,30.275,0,,,
01/04/2025,22:00:00,13.1862,3.6423,3.7092,1.7528,1.7469,29.7313,0.864,266.36,1,1,48.725,30.2062,0,,,
01/04/2025,22:30:00,13.1449,3.7333,3.7968,1.7787,1.7861,28.8875,0.919,283.94,1,1,48.8312,30.1688,0,,,
01/04/2025,23:00:00,13.2766,3.7018,3.7762,1.7548,1.7443,28.5062,2.468,283.9,1,1,49.025,30.175,0,,,
01/04/2025,23:30:00,13.267,3.6007,3.6703,1.7371,1.748,28.2812,2.949,284.24,1,0,49.3,30.25,0,,,
02/04/2025,00:00:00,13.2663,3.6318,3.6953,1.7196,1.7192,28.825,3.737,286.66,1,0,49.6125,30.2875,0,,,
02/04/2025,00:30:00,13.223,3.606,3.6756,1.6992,1.7065,29.475,0.754,283.24,1,0,49.9375,30.2938,0,,,
02/04/2025,01:00:00,13.2104,3.6467,3.7101,1.7362,1.7266,29.3812,0.754,269.16,1,0,43.3875,30.3937,0,,,
02/04/2025,01:30:00,13.1678,3.6603,3.7232,1.7712,1.7695,29.8937,0.817,279.24,1,0,46.9688,30.4312,0,,,
02/04/2025,02:00:00,13.2375,3.6738,3.7491,1.7612,1.7686,29.3875,0.553,263.5,1,1,48.475,30.4062,0,,,
02/04/2025,02:30:00,13.1782,3.6467,3.7114,1.7714,1.7616,28.35,0.945,260.26,1,1,49.2375,30.425,0,,,
02/04/2025,03:00:00,12.995,3.6069,3.6738,1.6839,1.6697,29.6625,0.944,260.68,1,1,49.6687,30.5125,0,,,
02/04/2025,03:30:00,13.139,3.6283,3.6913,1.7194,1.7135,29.4625,3.745,285.54,1,1,42.0125,30.5562,0,,,
02/04/2025,04:00:00,13.0824,3.7407,3.8068,1.7983,1.7863,29.3812,7.46,283.14,1,0,45.9312,30.5875,0,,,
02/04/2025,04:30:00,13.0258,3.6743,3.7464,1.7973,1.7859,28.3312,2.951,280.46,1,0,48.425,30.5812,0,,,
02/04/2025,05:00:00,13.1934,3.6874,3.7486,1.7653,1.7682,29.375,3.118,278.32,1,0,49.6812,30.6375,0,,,
02/04/2025,05:30:00,13.1045,3.6659,3.7333,1.804,1.7857,29.9688,11.602,279.82,1,0,41.9812,30.7,0,,,
02/04/2025,06:00:00,13.005,3.5846,3.6541,1.7148,1.7292,29.6,17.108,284.42,1,0,46.6312,30.6937,0,,,
02/04/2025,06:30:00,11.923,2.2865,2.3132,1.1974,1.2005,29.9625,4.947,291.9,1,1,48.7812,30.7938,5.5,,,
02/04/2025,07:00:00,12.5114,1.9212,1.9496,0.9443,0.9457,29.625,6.008,297.62,1,1,49.8562,30.7938,26.9437,,,
02/04/2025,07:30:00,12.3976,1.9247,1.947,1.0108,1.0111,27.7375,5.306,299.96,1,1,42.9375,30.7938,55.1187,,,
02/04/2025,08:00:00,12.2609,2.1513,2.1846,1.1123,1.1126,28.9062,0.801,307.66,1,1,46.6375,30.7125,36.45,,,
