Datetime,NET MW,ECO O/L FG TEMP,AH O/L FG TEMP,AH I/L PA TEMP,AH O/L PA TEMP,AH I/L SECAIR TEMP,AH O/L SECAIR TEMP,AH O/L SECAIR TEMP,ECO O/L FG ANALR 1 PRB O2 DNSTY 1 VLU,ECO O/L FG ANALR 1 PRB O2 DNSTY 2 VLU,ECO O/L FG ANALR 2 PRB O2 DNSTY 1 VLU,ECO O/L FG ANALR 2 PRB O2 DNSTY 2 VLU,ECO O/L FG PRS,AH O/L FG PRS,PAF A O/L AIR PRS,PAF B O/L AIR PRS,HPA PRS SETP BIAS PV,FDF A O/L AIR PRS,FDF B O/L AIR PRS,AH O/L SECAIR PRS,AH O/L SECAIR PRS,AH RTDRV CURR,B-SB STM FLW,B-SB STM TEMP,AH SOOTBLOWER HOT SIDE RETRACTED,AH SOOTBLOWER COLD SIDE RETRACTED,AH GDBRG TEMP,AH SPT BRG TEMP,AH SECAIR BYP CDPR CDRV POSN FDBK,Unknown_1,Unknown_2,Unknown_3
2025-06-01 00:00:00,267.4313,296.0938,120.2625,50.8625,282.65,39.6062,280.2188,280.2812,5.7016,5.2188,5.2562,6.2469,-0.6841,-1.8295,12.6045,12.5265,11.7059,1.4907,1.5204,0.9006,0.8897,28.3375,3.211,248.14,1.0,0.0,50.0938,38.875,57.2687,,,
2025-06-01 00:30:00,415.3312,315.3125,116.225,50.9688,288.375,38.6812,295.4375,295.5,4.9656,4.3594,4.2937,4.0219,-0.8499,-2.6255,13.5632,13.4706,12.2569,2.4002,2.4282,1.1222,1.1209,29.8,0.737,259.52,1.0,0.0,46.4562,38.8,16.6312,,,
2025-06-01 01:00:00,472.4938,327.0312,117.4125,49.775,298.975,38.1688,307.5625,307.6562,3.3562,3.9469,4.3609,3.9297,-1.0323,-3.067,13.7257,13.6169,12.2306,2.5713,2.6019,1.1823,1.1653,28.9813,0.781,280.56,1.0,0.0,49.5125,38.7875,0.0,,,
2025-06-01 01:30:00,509.8938,336.625,119.6,49.5,307.1,38.075,316.5938,316.6875,3.2953,3.6375,3.9766,3.625,-0.975,-3.178,13.5502,13.4381,12.0744,2.9121,2.9541,1.342,1.3427,29.8687,0.813,294.24,1.0,0.0,45.2812,38.6812,0.0,,,
2025-06-01 02:00:00,509.575,338.8438,120.725,49.6875,308.95,38.0938,318.7812,318.7812,3.0484,3.5719,4.0453,3.9469,-0.9921,-3.1595,13.5795,13.3861,12.0262,2.7625,2.8032,1.2504,1.2504,29.0812,0.778,294.96,1.0,1.0,48.9062,38.6437,0.0,,,
2025-06-01 02:30:00,510.9563,334.9375,120.3625,50.4812,306.875,38.5062,316.7188,316.8125,3.2094,3.5469,3.8953,3.8422,-0.9724,-3.16,13.5974,13.4804,12.1373,2.7717,2.808,1.2613,1.265,29.4125,0.858,292.78,1.0,1.0,44.2,38.6375,0.0,,,
2025-06-01 03:00:00,508.1937,329.5625,120.2375,50.6562,304.775,38.8563,314.0312,314.125,3.0156,3.3953,3.7984,3.6656,-0.9579,-3.075,13.5047,13.3926,12.0547,2.7008,2.7271,1.2038,1.2001,28.4125,0.884,287.4,1.0,1.0,48.6875,38.5875,0.0,,,
2025-06-01 03:30:00,508.8313,327.4688,119.3875,50.3312,302.675,38.6437,312.0312,312.0625,3.2188,3.2859,3.7437,3.7078,-0.9886,-3.128,13.4674,13.3617,11.9628,2.7301,2.7607,1.2132,1.2068,29.9312,0.898,284.52,1.0,1.0,43.7875,38.6063,0.0,,,
2025-06-01 04:00:00,509.15,327.0312,118.2,50.6312,301.9,38.6562,311.2812,311.3125,3.2312,3.4281,3.825,3.8984,-0.947,-3.165,13.6461,13.547,12.1559,2.7704,2.8054,1.2486,1.251,30.5312,3.003,286.46,1.0,0.0,48.3562,38.5938,0.0,,,
2025-06-01 04:30:00,509.2562,326.9062,117.7125,49.7937,301.65,38.325,311.4375,311.4688,3.2266,3.3312,3.7672,3.7703,-1.0231,-3.1735,13.6087,13.5047,12.0992,2.6706,2.7004,1.1672,1.1624,28.9875,2.898,289.76,1.0,0.0,43.075,38.55,0.0,,,
2025-06-01 05:00:00,507.9812,326.625,117.15,49.225,301.7,37.9188,311.2188,311.2812,3.2234,3.375,3.6328,4.0453,-1.0174,-3.1015,13.4885,13.378,12.0396,2.5993,2.6234,1.1467,1.1493,29.9813,3.092,290.6,1.0,0.0,48.0437,38.5438,0.0,,,
2025-06-01 05:30:00,507.45,326.0938,117.7,49.1187,302.05,37.7313,311.4062,311.4375,2.9844,3.4187,3.8766,3.8687,-0.9549,-3.079,13.8314,13.7014,12.2563,2.661,2.6921,1.2351,1.2302,29.3875,5.374,293.14,1.0,0.0,42.8,38.5125,0.0,,,
2025-06-01 06:00:00,436.2625,320.5,117.0625,48.275,299.85,37.4562,307.0312,307.0625,4.2906,3.8203,4.0625,5.1375,-0.8477,-2.5375,12.5623,12.4339,11.7449,2.3631,2.3924,1.2812,1.2659,29.9312,0.849,280.26,1.0,0.0,47.5062,38.3687,8.8312,,,
2025-06-01 06:30:00,328.95,317.9375,115.6125,48.9937,296.525,37.4062,301.875,301.9375,4.2437,4.0797,4.9266,4.7234,-0.821,-1.995,12.5216,12.4501,11.6771,1.2413,1.2684,0.6425,0.6429,29.975,11.292,293.62,1.0,1.0,49.9812,38.275,60.3438,,,
2025-06-01 07:00:00,266.0499,293.75,125.175,50.6562,284.35,39.0938,281.875,281.9062,5.2672,5.4484,5.3687,5.7375,-0.5983,-1.747,12.7816,12.7134,11.9061,1.5016,1.5305,0.905,0.9047,29.7375,17.789,273.24,1.0,1.0,45.6687,38.325,45.2312,,,
2025-06-01 07:30:00,266.475,290.0,118.95,51.2812,278.475,39.9375,277.5,277.5312,5.3266,5.4641,5.5734,6.2031,-0.6176,-1.8445,12.7686,12.6874,11.865,1.5699,1.6014,0.9345,0.9319,30.3625,16.302,274.08,1.0,1.0,49.1187,38.2437,52.2562,,,
2025-06-01 08:00:00,265.625,288.2188,119.3125,51.5187,277.5,40.2687,275.25,275.2812,5.5141,5.3969,5.5422,6.1391,-0.6412,-1.848,12.6597,12.5752,11.7129,1.4531,1.4806,0.838,0.8236,29.3062,0.796,263.8,1.0,1.0,44.6,38.1875,55.8687,,,
2025-06-01 08:30:00,266.7937,287.4062,120.025,51.9062,277.0,40.6812,274.25,274.2188,5.3516,5.8172,5.8687,6.7156,-0.5961,-1.901,12.7686,12.7004,11.8685,1.5257,1.5546,0.8708,0.8752,30.5687,0.803,256.66,1.0,1.0,48.9187,38.25,54.3375,,,
2025-06-01 09:00:00,265.9437,286.9062,119.45,52.3,276.475,41.0062,274.0625,274.0938,5.1656,5.4984,5.4656,6.1469,-0.6364,-1.851,12.7183,12.6435,11.8097,1.4929,1.5244,0.8509,0.8555,28.3312,3.143,259.3,1.0,0.0,44.3375,38.2125,52.7875,,,
2025-06-01 09:30:00,261.0563,286.7812,118.675,52.8187,276.3,41.8812,273.9062,274.0312,5.3391,5.3562,5.2719,6.2312,-0.6705,-1.794,12.8401,12.754,11.8522,1.3984,1.4272,0.7965,0.7956,29.4188,3.3,255.62,1.0,0.0,48.9688,38.3,53.7937,,,
2025-06-01 10:00:00,266.5812,286.9062,118.425,53.4812,275.925,42.6437,274.5625,274.6562,5.4672,5.3969,5.6156,6.1969,-0.6622,-1.761,12.6792,12.6207,11.8177,1.4509,1.4815,0.8402,0.8378,29.1625,0.833,250.84,1.0,0.0,43.7875,38.4062,50.5312,,,
2025-06-01 10:30:00,266.2625,287.125,118.225,53.3875,276.0,42.8125,275.3125,275.4375,5.6437,5.6375,5.5625,5.5125,-0.7318,-1.8585,12.6419,12.5623,11.8088,1.4636,1.4933,0.7934,0.7917,29.4,0.806,242.74,1.0,0.0,48.475,38.3125,48.375,,,
2025-06-01 11:00:00,265.2,287.0,118.0875,53.9688,276.225,43.1562,275.6562,275.7812,5.6187,5.6734,5.6156,6.4078,-0.6416,-1.8375,12.7897,12.7166,11.8287,1.5248,1.5554,0.8601,0.859,30.6125,0.879,242.26,1.0,0.0,43.25,38.4062,46.4562,,,
2025-06-01 11:30:00,266.9,287.9375,117.7375,54.1125,276.225,43.175,276.0938,276.1875,5.8734,5.6281,5.9766,5.6953,-0.6355,-1.8785,12.6727,12.5866,11.7982,1.5554,1.5817,0.8628,0.8776,28.3375,0.793,242.94,1.0,1.0,48.2312,38.4375,45.05,,,
2025-06-01 12:00:00,267.1124,288.5938,117.725,55.1875,276.325,43.9312,276.6875,276.7812,5.7328,5.2766,5.7016,6.3359,-0.6836,-1.983,12.7036,12.6272,11.7949,1.6386,1.6687,0.8794,0.8772,29.4125,0.845,241.5,1.0,1.0,43.7875,38.45,40.1875,,,
2025-06-01 12:30:00,266.6875,289.7188,116.8375,55.425,276.225,44.2687,277.2812,277.375,5.8516,5.4094,5.4578,5.4953,-0.6574,-2.003,12.832,12.7459,11.7095,1.6543,1.6854,0.8547,0.8402,29.425,0.784,239.96,1.0,1.0,48.4375,38.6375,36.4062,,,
2025-06-01 13:00:00,266.2625,289.875,116.425,55.6625,276.35,44.4562,277.6875,277.75,5.9094,5.3328,5.8578,6.0406,-0.6661,-2.087,12.8482,12.7719,11.867,1.6784,1.7042,0.8544,0.8555,29.875,0.824,238.88,1.0,1.0,43.7812,38.775,34.9188,,,
2025-06-01 13:30:00,265.5187,290.2188,116.175,55.925,276.275,44.6,278.0312,278.125,6.0953,5.6328,5.3234,5.4375,-0.6049,-2.058,12.7946,12.7215,11.7889,1.7597,1.7834,0.8962,0.8999,29.85,2.261,245.66,1.0,1.0,49.1187,38.9312,32.4625,,,
2025-06-01 14:00:00,266.9,290.75,115.1625,55.8875,276.35,44.55,278.3438,278.4062,5.55,5.3812,5.5875,5.7188,-0.7213,-1.958,12.7426,12.6711,11.7223,1.6132,1.6416,0.8669,0.8647,31.65,3.137,252.96,1.0,0.0,45.5938,39.0625,34.9188,,,
2025-06-01 14:30:00,350.0938,302.25,113.0125,53.4812,281.525,41.1187,286.9375,287.0,5.4391,5.1344,4.6953,4.2703,-0.8403,-2.4315,13.0221,12.9506,11.9506,2.0398,2.0673,0.9789,0.9815,28.7875,20.37,271.44,1.0,0.0,49.7812,39.2062,41.75,,,
2025-06-01 15:00:00,439.2374,319.0625,115.0,52.5,294.225,40.1875,301.7812,301.875,4.05,3.4875,3.6672,3.625,-0.9715,-2.884,13.1342,13.0156,11.7823,2.5809,2.6238,1.2294,1.2504,28.3563,5.867,293.8,1.0,0.0,44.9937,39.375,0.0062,,,
2025-06-01 15:30:00,508.4062,334.0938,119.0,52.4,304.75,40.2375,314.3125,314.4062,3.1359,3.5094,3.9797,3.8906,-1.0013,-3.244,13.7696,13.6819,12.2295,2.8741,2.9104,1.3134,1.3005,29.4062,5.907,292.26,1.0,0.0,48.4125,39.425,0.0,,,
2025-06-01 16:00:00,508.6188,333.6875,120.5375,52.1937,305.05,39.95,314.5625,314.5938,3.4016,3.6281,4.0062,3.9828,-0.9737,-3.204,13.6185,13.5145,12.2057,2.8994,2.941,1.3261,1.3265,28.05,0.818,300.6,1.0,1.0,49.8562,39.2937,0.0,,,
2025-06-01 16:30:00,507.6625,330.875,120.625,53.475,303.525,41.125,313.1562,313.1875,3.2125,3.6328,4.0094,3.6859,-0.9829,-3.2065,13.6477,13.5421,12.1505,2.8535,2.8977,1.302,1.2943,29.5438,0.811,296.14,1.0,1.0,44.7062,39.45,0.0,,,
2025-06-01 17:00:00,508.0875,327.4062,121.5875,53.6562,302.925,42.0375,311.9062,311.9062,3.2031,3.6312,3.8625,3.9906,-1.0153,-3.1905,13.5356,13.4414,12.0395,2.7642,2.7975,1.2206,1.2112,29.9375,0.628,292.1,1.0,1.0,48.325,39.4312,0.0,,,
2025-06-01 17:30:00,508.3,325.1875,120.925,53.4688,300.8,41.8812,309.8438,309.875,3.3234,3.6953,3.9109,3.9187,-0.9142,-3.0635,13.6055,13.5031,12.1157,2.7616,2.7962,1.246,1.2615,29.4562,0.749,288.82,1.0,1.0,46.0875,39.5062,0.0,,,
2025-06-01 18:00:00,505.75,324.625,119.45,53.2188,299.8,41.6687,308.9688,309.0,3.3281,3.45,3.7875,3.8281,-0.9916,-3.1645,13.6575,13.5616,12.095,2.7467,2.7831,1.2232,1.2211,29.4,0.722,277.06,1.0,1.0,47.5062,39.6,0.0,,,
2025-06-01 18:30:00,506.7063,325.1562,119.0875,52.775,299.75,41.3125,309.0312,309.0938,3.3625,3.6047,3.8797,3.9375,-1.0249,-3.2555,13.508,13.3991,12.0494,2.8198,2.864,1.2596,1.2504,29.5312,2.883,287.82,1.0,0.0,44.3125,39.7188,0.0,,,
2025-06-01 19:00:00,507.875,325.3125,118.8875,52.5125,300.05,41.0,309.3438,309.4688,3.1766,3.5422,3.8797,3.8281,-1.0157,-3.1845,13.5372,13.43,11.9802,2.7266,2.7677,1.2077,1.2103,29.975,3.158,289.86,1.0,0.0,49.1062,39.8062,0.0,,,
2025-06-01 19:30:00,508.8313,325.5625,118.7375,52.4562,300.4,40.9437,309.5625,309.6562,3.1,3.2266,3.6031,4.2797,-0.9978,-3.1505,13.5876,13.482,12.1616,2.7428,2.7831,1.2467,1.2462,31.65,2.74,290.94,1.0,0.0,45.8062,40.0062,0.0,,,
2025-06-01 20:00:00,508.4062,326.2188,118.925,52.3187,300.75,40.7062,309.875,309.9688,3.0031,3.4422,3.8906,3.8578,-0.9746,-3.1205,13.6087,13.4852,12.0968,2.7778,2.8115,1.2604,1.2521,30.5375,0.861,279.08,1.0,0.0,48.4812,40.0562,0.0,,,
2025-06-01 20:30:00,509.15,326.3125,118.9625,52.1062,301.0,40.6,310.0938,310.0938,3.2422,3.6406,4.0062,3.9375,-0.9855,-3.1815,13.5941,13.4885,12.0113,2.7831,2.8238,1.2366,1.2375,29.625,0.628,273.06,1.0,0.0,48.7062,40.0687,0.0,,,
